Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
39,8,13,13,3,106,14,64,1
28,19,29,9,0,32,6,1,1
15,5,26,10,1,19,36,30,1
47,1,9,4,2,73,18,13,1
47,16,30,42,1,5,15,18,1
1,11,21,4,4,33,2,29,1
0,15,25,5,0,15,7,9,1
70,11,21,14,8,51,10,13,1
15,8,22,3,3,15,37,81,1
4,7,35,0,14,7,9,51,1
42,5,25,12,9,6,0,16,1
26,6,18,36,5,27,3,27,1
3,5,9,18,6,43,19,29,1
11,1,25,7,12,23,27,18,1
29,37,7,46,16,3,19,45,1
45,25,9,44,6,30,38,65,1
27,11,11,20,1,29,2,4,1
7,12,40,0,12,10,25,48,1
6,7,5,10,3,3,7,10,1
40,0,3,9,4,40,5,35,1
3,13,22,4,11,3,17,35,1
3,5,36,17,8,8,9,12,1
10,13,37,12,7,44,41,7,1
6,4,44,39,5,85,4,40,1
35,19,13,0,6,42,13,89,1
12,4,34,18,8,127,16,30,1
6,1,2,7,7,39,2,17,1
15,2,2,57,5,76,18,18,1
86,28,14,15,14,12,30,60,1
45,14,14,9,2,6,12,27,1
64,3,62,6,7,24,23,94,1
1,19,43,4,3,65,3,14,1
49,11,3,1,12,37,11,63,1
9,6,39,25,6,25,25,27,1
8,7,35,15,8,29,18,45,1
22,23,44,1,14,20,5,2,1
23,4,4,8,10,18,17,19,1
4,2,4,27,3,58,9,30,1
44,13,43,19,9,79,46,36,1
62,5,7,19,14,45,23,23,1
52,26,52,45,7,8,70,75,1
50,10,16,8,7,13,4,1,1
25,6,30,14,7,13,18,12,1
3,9,26,16,6,71,45,45,1
30,15,59,8,7,46,5,18,1
22,17,65,6,7,117,47,41,1
28,5,28,0,2,25,13,27,1
6,12,22,15,13,51,15,27,1
46,2,21,6,20,9,3,30,1
24,21,28,37,13,10,18,3,1
43,26,31,26,13,12,5,60,1
26,22,59,40,8,73,22,76,1
26,5,35,18,6,21,19,12,1
56,7,21,7,14,2,4,6,1
9,17,0,6,4,2,16,35,1
18,23,45,9,3,1,21,48,1
10,12,31,27,0,62,5,11,1
44,18,66,27,12,127,5,37,1
62,1,22,20,12,66,27,52,1
5,34,25,23,9,69,17,18,1
3,2,15,17,3,24,4,14,1
20,27,78,31,1,48,11,26,1
5,32,99,29,3,43,31,36,1
28,8,11,32,0,7,30,2,1
34,3,3,24,2,15,26,9,1
7,2,12,3,4,14,4,3,1
29,6,19,10,3,8,14,13,1
2,3,1,23,1,13,17,37,1
13,8,2,24,3,65,8,11,1
19,28,50,56,3,17,17,68,1
11,23,19,10,7,76,9,7,1
24,1,0,13,2,81,8,12,1
15,19,33,8,11,54,23,41,1
16,14,37,2,13,44,2,27,1
82,28,15,14,10,48,28,35,1
5,5,2,1,2,11,10,32,1
19,11,19,12,6,24,3,15,1
61,14,23,3,9,50,10,41,1
4,5,27,8,1,34,26,0,1
4,1,21,22,2,9,19,16,1
12,18,24,36,6,13,29,36,1
12,12,46,20,2,29,11,29,1
18,17,16,16,4,42,39,37,1
1,1,17,28,4,7,2,10,1
37,9,10,37,17,42,14,23,1
25,24,9,20,11,33,25,34,1
5,15,87,27,2,56,4,12,1
48,36,51,81,1,7,3,38,1
15,9,28,7,17,40,39,66,1
38,12,24,2,10,36,18,7,1
65,25,15,34,3,10,33,50,1
6,23,18,13,9,39,7,17,1
6,13,45,26,6,21,1,11,1
23,25,6,4,6,41,24,25,1
8,16,39,12,6,28,3,6,1
22,21,59,19,2,71,11,36,1
14,5,27,12,5,69,51,52,1
2,8,19,29,0,46,34,37,1
37,24,52,57,8,54,24,50,1
17,3,3,4,14,3,9,12,1
14,1,10,38,16,34,6,10,1
13,0,60,25,3,3,16,3,1
25,13,2,2,10,16,10,2,1
8,17,34,3,10,52,9,5,1
64,0,37,8,9,33,7,22,1
51,17,21,18,15,12,16,8,1
62,7,7,20,13,123,18,22,1
48,6,6,26,7,100,19,5,1
43,1,47,4,3,3,17,45,1
19,6,37,17,15,79,25,43,1
3,4,8,8,5,15,27,25,1
19,12,26,25,4,95,35,30,1
17,7,11,7,15,11,17,23,1
3,15,4,50,5,77,37,1,1
6,8,25,40,5,8,12,7,1
11,7,57,29,7,58,34,57,1
53,33,79,38,7,78,68,97,1
17,24,62,39,18,36,34,31,1
3,15,50,6,4,9,29,74,1
26,5,8,12,2,54,33,120,1
19,14,1,33,9,17,23,15,1
18,2,2,16,0,16,6,1,1
22,15,9,4,2,31,18,36,1
6,4,14,41,7,42,21,62,1
19,0,22,6,16,0,33,73,1
